account_id,timestamp,amount,merchant_category,channel,distance_from_home,is_fraud
0,2025-01-01 23:54:56,77.96,jewelry,atm,0.0759,0
0,2025-01-03 14:54:40,21.95,jewelry,atm,0.0157,0
0,2025-01-03 17:08:48,93.18,fuel,mobile,0.0898,0
0,2025-01-04 09:24:05,38.92,utilities,pos,0.0249,0
0,2025-01-04 11:44:30,24.33,entertainment,pos,0.0102,0
0,2025-01-05 05:05:48,68.16,fuel,online,0.0327,0
0,2025-01-05 05:21:57,30.91,fuel,pos,0.0013,0
0,2025-01-05 17:13:50,19.15,fuel,online,0.0842,0
0,2025-01-06 09:10:37,67.31,fuel,mobile,0.034,0
0,2025-01-06 17:46:53,37.13,fuel,pos,0.0092,0
0,2025-01-07 14:18:37,85.52,fuel,mobile,0.1077,0
0,2025-01-08 08:23:23,43.23,fuel,pos,0.0726,0
0,2025-01-08 16:17:19,37.27,jewelry,atm,0.0204,0
0,2025-01-08 22:49:59,199.73,jewelry,online,0.0257,0
0,2025-01-09 03:31:31,15.59,jewelry,mobile,0.0347,0
0,2025-01-09 07:08:00,40.82,jewelry,pos,0.0375,0
0,2025-01-09 11:21:10,31.01,entertainment,online,0.023,0
0,2025-01-11 13:04:22,10.29,fuel,pos,0.0339,0
0,2025-01-11 13:21:59,66.9,entertainment,online,0.0539,0
0,2025-01-11 16:34:27,74.58,grocery,online,0.0131,0
0,2025-01-12 14:42:45,19.95,entertainment,mobile,0.0149,0
0,2025-01-12 18:57:35,60.08,entertainment,atm,0.1276,0
0,2025-01-13 23:04:58,59.56,travel,online,0.0116,0
0,2025-01-14 06:25:39,61.79,jewelry,online,0.0373,0
0,2025-01-14 10:50:02,40.11,fuel,mobile,0.0658,0
0,2025-01-14 12:55:12,31.12,utilities,pos,0.0538,0
0,2025-01-15 07:17:22,30.92,entertainment,online,0.0547,0
0,2025-01-15 17:28:14,97.99,jewelry,mobile,0.0311,0
0,2025-01-15 20:15:29,171.64,jewelry,online,0.0398,0
0,2025-01-17 06:58:39,161.39,jewelry,pos,0.029,0
0,2025-01-17 10:49:09,323.11,entertainment,mobile,0.0566,0
0,2025-01-17 15:17:08,143.89,fuel,online,0.0875,0
0,2025-01-17 15:43:29,117.51,entertainment,mobile,0.0792,0
0,2025-01-17 16:12:49,116.28,fuel,online,0.0708,0
0,2025-01-17 23:15:18,47.72,jewelry,online,0.0638,0
0,2025-01-18 07:20:17,59.81,jewelry,online,0.0176,0
0,2025-01-18 09:05:14,102.57,jewelry,online,0.0557,0
0,2025-01-18 16:12:15,22.44,entertainment,atm,0.0501,0
0,2025-01-19 11:16:12,42.39,fuel,pos,0.0115,0
0,2025-01-19 18:22:30,86.09,entertainment,pos,0.0464,0
0,2025-01-19 22:41:37,39.04,fuel,online,0.0639,0
0,2025-01-21 07:42:40,22.28,cash_advance,mobile,0.1014,0
0,2025-01-21 09:11:28,28.01,fuel,online,0.0017,0
0,2025-01-21 12:27:13,29.72,travel,mobile,0.0161,0
0,2025-01-21 15:09:03,62.69,fuel,pos,0.0258,0
0,2025-01-22 12:42:23,69.36,cash_advance,online,0.004,0
0,2025-01-22 13:31:02,56.77,entertainment,online,0.034,0
0,2025-01-22 15:49:25,301.11,entertainment,atm,0.0733,0
0,2025-01-23 08:18:13,186.8,cash_advance,pos,0.0592,0
0,2025-01-23 10:05:55,13.49,fuel,mobile,0.0776,0
0,2025-01-23 14:01:12,76.21,jewelry,online,0.0002,0
0,2025-01-23 23:48:06,98.11,fuel,pos,0.0087,0
0,2025-01-24 11:06:35,19.46,electronics,pos,0.0734,0
0,2025-01-25 12:16:52,55.12,entertainment,online,0.0707,0
0,2025-01-25 17:45:55,26.82,entertainment,mobile,0.0151,0
0,2025-01-26 09:14:52,37.97,jewelry,atm,0.0411,0
0,2025-01-27 06:26:38,132.5,fuel,online,0.0293,0
0,2025-01-27 10:19:12,26.83,jewelry,mobile,0.0565,0
0,2025-01-27 11:36:15,102.52,fuel,mobile,0.0652,0
0,2025-01-27 13:16:19,25.22,fuel,pos,0.0262,0
0,2025-01-27 14:06:10,90.26,fuel,online,0.0176,0
0,2025-01-27 14:55:56,30.9,entertainment,atm,0.0174,0
0,2025-01-27 19:26:19,12.25,entertainment,online,0.022,0
0,2025-01-27 23:18:11,16.06,entertainment,pos,0.0083,0
0,2025-01-28 15:01:56,199.36,jewelry,online,0.0621,0
0,2025-01-28 17:40:55,35.88,entertainment,mobile,0.028,0
0,2025-01-29 14:24:21,42.77,jewelry,mobile,0.0261,0
0,2025-01-29 14:49:03,327.91,fuel,mobile,0.0121,0
0,2025-01-29 16:45:27,36.3,entertainment,online,0.0131,0
0,2025-01-30 06:31:50,83.43,entertainment,online,0.0332,0
0,2025-01-30 11:29:58,42.55,jewelry,pos,0.0861,0
0,2025-01-31 14:29:33,61.05,fuel,online,0.0832,0
0,2025-01-31 22:31:04,58.0,jewelry,mobile,0.0161,0
0,2025-02-01 08:21:48,45.9,utilities,pos,0.0785,0
0,2025-02-01 17:03:33,97.53,jewelry,online,0.0477,0
0,2025-02-02 11:50:57,63.35,entertainment,mobile,0.0226,0
0,2025-02-02 18:13:55,54.67,jewelry,online,0.0204,0
0,2025-02-02 18:21:11,144.96,jewelry,pos,0.0398,0
0,2025-02-03 10:09:38,39.42,online_retail,pos,0.0283,0
0,2025-02-03 12:23:33,27.21,entertainment,atm,0.0117,0
0,2025-02-03 12:42:36,28.53,fuel,pos,0.0571,0
0,2025-02-03 12:44:55,58.02,entertainment,mobile,0.0317,0
0,2025-02-03 15:44:59,50.69,jewelry,mobile,0.0375,0
0,2025-02-05 12:27:55,76.6,fuel,pos,0.0176,0
0,2025-02-05 20:47:23,45.79,jewelry,online,0.0039,0
0,2025-02-05 23:32:24,88.34,cash_advance,pos,0.0444,0
0,2025-02-06 13:39:41,17.43,grocery,pos,0.0239,0
0,2025-02-06 15:24:40,50.85,fuel,pos,0.008,0
0,2025-02-08 12:32:12,29.05,travel,pos,0.0707,0
0,2025-02-08 14:24:39,100.97,electronics,online,0.0857,0
0,2025-02-09 11:43:43,48.37,entertainment,pos,0.014,0
0,2025-02-09 13:47:18,19.62,fuel,online,0.0375,0
0,2025-02-09 14:05:27,51.6,jewelry,online,0.0579,0
0,2025-02-09 18:41:40,105.85,jewelry,pos,0.0504,0
0,2025-02-10 08:32:21,32.72,fuel,pos,0.0619,0
0,2025-02-10 10:54:40,50.56,jewelry,pos,0.0206,0
0,2025-02-10 12:12:55,35.11,entertainment,online,0.0464,0
0,2025-02-10 22:10:22,120.36,entertainment,mobile,0.0029,0
0,2025-02-10 23:03:08,93.35,fuel,pos,0.0374,0
0,2025-02-11 07:02:59,74.35,jewelry,online,0.1022,0
0,2025-02-11 10:14:31,68.99,entertainment,online,0.0007,0
0,2025-02-11 11:57:13,22.95,jewelry,mobile,0.1057,0
0,2025-02-11 17:36:13,22.45,jewelry,pos,0.0137,0
0,2025-02-11 18:14:11,128.79,entertainment,mobile,0.0061,0
0,2025-02-12 12:14:32,44.68,jewelry,online,0.0227,0
0,2025-02-13 08:28:05,19.21,utilities,online,0.0374,0
0,2025-02-13 15:16:46,27.77,fuel,mobile,0.0681,0
0,2025-02-13 16:30:18,83.26,jewelry,mobile,0.0694,0
0,2025-02-14 11:07:40,33.57,fuel,online,0.0784,0
0,2025-02-14 12:30:50,72.63,fuel,pos,0.0124,0
0,2025-02-14 15:48:45,576.83,entertainment,online,0.0318,0
0,2025-02-15 08:16:04,39.23,entertainment,pos,0.0426,0
0,2025-02-15 10:35:58,97.73,jewelry,online,0.0004,0
0,2025-02-15 23:11:47,22.6,entertainment,online,0.0268,0
0,2025-02-15 23:25:01,41.99,cash_advance,online,0.0126,0
0,2025-02-16 13:26:38,85.56,entertainment,pos,0.0032,0
0,2025-02-16 18:34:37,49.21,fuel,mobile,0.0886,0
0,2025-02-16 20:35:48,43.37,jewelry,pos,0.0141,0
0,2025-02-16 21:58:48,25.93,fuel,pos,0.0491,0
0,2025-02-17 04:42:58,31.42,utilities,mobile,0.0549,0
0,2025-02-17 13:08:07,201.26,cash_advance,mobile,0.0246,0
0,2025-02-18 07:25:26,79.81,entertainment,mobile,0.0047,0
0,2025-02-18 12:11:30,45.34,entertainment,pos,0.0408,0
0,2025-02-18 23:12:36,53.25,fuel,online,0.0915,0
0,2025-02-19 12:14:48,15.81,jewelry,pos,0.0328,0
0,2025-02-20 09:20:15,61.27,entertainment,pos,0.0001,0
0,2025-02-20 12:01:10,49.2,entertainment,online,0.0784,0
0,2025-02-20 15:07:16,155.67,jewelry,pos,0.0003,0
0,2025-02-20 18:41:16,49.47,entertainment,online,0.0333,0
0,2025-02-21 08:54:22,92.91,entertainment,atm,0.0589,0
